Fecha,DViento,HAire10,O3,P,PLiquida,RGlobal,TAire10,TMPR_AIR_10CM,VViento
2021-05-10,220.60836956,82.345,14.66339105,20.3618913,0.04913043,,,20.3618913,0.77559468
2021-05-11,169.49921183,70.61909028,9.35192809,22.84404861,0.00083333,,,22.84404861,0.8526873
2021-05-12,195.64158911,69.47597917,16.73373847,23.44803472,0.04875,,,23.44803472,0.80975213
2021-05-13,170.23207407,71.18336806,16.75826275,23.05980555,0.04083333,,,23.05980555,0.97451946
2021-05-14,187.43892463,73.680541,15.51569888,23.13322062,0.02782609,,,23.13322062,0.92551944
2021-05-15,186.55624205,75.26544927,18.03281483,22.70260145,0.05826087,,,22.70260145,0.89407628
2021-05-16,188.17806187,74.95573387,23.13457736,21.36659028,0.23791667,,,21.36659028,0.69809025
2021-05-17,171.40134744,81.3010951,20.15078912,20.60552083,0.40375,,,20.60552083,0.78505362
2021-05-18,178.3726868,84.57932745,10.51274434,19.34768056,0.13041667,,,19.34768056,0.79002259
2021-05-19,186.78539847,74.43079202,13.37391115,22.02415278,0.0,,,22.02415278,0.7776193
2021-05-20,136.70286911,68.17897826,14.71457217,23.51757246,0.0,,,23.51757246,0.91169107
2021-05-21,235.25717022,77.9414375,10.19392861,21.75511111,0.00333333,,,21.75511111,0.89982885
2021-05-22,188.15442732,75.73354861,18.74473,22.35273611,0.14583333,,,22.35273611,0.8232958
2021-05-23,183.80638105,76.20675694,16.86453466,22.40983333,0.04208333,,,22.40983333,0.60959043
2021-05-24,149.45871712,73.39730556,15.2295822,22.5350625,0.10791667,,,22.5350625,0.77420627
2021-05-25,232.05491145,73.00086957,18.18635819,22.28215217,0.19173913,,,22.28215217,0.97110771
2021-05-26,207.08074045,78.48484722,24.27086933,20.81764583,0.0675,,,20.81764583,0.7572524
2021-05-27,206.47352688,85.62459028,14.0360669,20.45575695,0.115,,,20.45575695,0.63812786
2021-05-28,209.18599923,82.64083333,12.12992558,20.37256944,0.02083333,,,20.37256944,0.96840141
2021-05-29,215.08250492,85.59671528,9.40097667,19.74390278,0.07041667,,,19.74390278,0.74749833
2021-05-30,191.45761069,82.98359028,12.79350303,20.67627778,0.17458333,,,20.67627778,0.74005144
2021-05-31,189.95734999,82.12505797,16.72110474,21.21349275,0.27652174,,,21.21349275,0.58911659
2021-06-01,183.13961644,85.15809028,13.4066102,19.48618056,0.35625,,,19.48618056,0.59012364
2021-06-02,194.69854257,80.14617361,22.79941211,20.9048125,0.02458333,,,20.9048125,0.72790187
2021-06-03,178.55493069,72.3561875,25.62787987,22.38349306,0.1925,,,22.38349306,0.85085014
2021-06-04,184.63805717,74.54544444,30.47551392,21.89425694,0.00208333,,,21.89425694,0.86433614
2021-06-05,197.12017971,74.92014583,25.08834556,22.42469444,0.00458333,,,22.42469444,0.73749139
2021-06-06,125.82866758,72.32470833,26.27368609,21.92552083,0.07083333,,,21.92552083,0.79232403
2021-06-07,209.75529914,86.68392361,21.8674892,19.6195,0.19416667,,,19.6195,0.65366497
2021-06-08,192.67185511,87.80779861,15.89991271,19.02839583,0.465,,,19.02839583,0.54139447
2021-06-09,183.14773902,85.24986111,20.28976008,19.43165972,0.14375,,,19.43165972,0.55044814
2021-06-10,205.94672936,81.57729861,12.91863978,20.82129861,0.01208333,,,20.82129861,0.75117805
